root,cohort,state,days,mean_lunch_range,median_lunch_range,mean_lunch_range_div_morning_range,median_lunch_range_div_morning_range,lunch_range_contraction_rate,mean_lunch_trendiness,median_lunch_trendiness,mean_lunch_signed_trendiness,median_lunch_signed_trendiness,vwap_cross_rate,vwap_touch_after_morning_extension_rate,trend_continuation_failure_rate,new_high_or_low_during_lunch_rate,mean_close_location_within_lunch_range,median_close_location_within_lunch_range
MNQ,primary_2023_2025,unconditional,753,129.93725099601593,107.5,0.7803320468877177,0.7,0.2098273572377158,0.4517873179446679,0.4472361809045226,0.08385296410120424,0.1111111111111111,0.598937583001328,0.598937583001328,0.47941567065073043,0.7569721115537849,0.5765651897949957,0.6231884057971014
MNQ,primary_2023_2025,standard,619,120.49919224555735,102.25,0.8220012923188593,0.7350427350427351,0.16155088852988692,0.4511505784756496,0.4481012658227848,0.10709433588696035,0.16167664670658682,0.6332794830371568,0.6332794830371568,0.4765751211631664,0.7722132471728594,0.5903940636951945,0.6475095785440613
MNQ,primary_2023_2025,exhaustion,134,173.53544776119404,146.375,0.5878450101572944,0.521671874779521,0.43283582089552236,0.45472867414856627,0.4463979274611399,-0.02350829810314688,-0.06810300080492887,0.44029850746268656,0.44029850746268656,0.4925373134328358,0.6865671641791045,0.5126840484201962,0.561131190729715
NQ,primary_2023_2025,unconditional,753,129.75929614873837,107.25,0.7807484938302105,0.6975381008206331,0.21115537848605578,0.45291331720764905,0.44738955823293175,0.08457605087236994,0.11275964391691394,0.5962815405046481,0.5962815405046481,0.47941567065073043,0.7556440903054449,0.5771183059865069,0.6219512195121951
NQ,primary_2023_2025,standard,618,120.29611650485437,102.125,0.8230267373658409,0.7345785771935893,0.1634304207119741,0.452271704372527,0.44857890081150725,0.10744607203414042,0.16565040650406504,0.6294498381877023,0.6294498381877023,0.47572815533980584,0.7718446601941747,0.5906243575442094,0.644009493336408
NQ,primary_2023_2025,exhaustion,135,173.07962962962964,145.25,0.587208090089325,0.5242018537590113,0.42962962962962964,0.4558504781862079,0.4453125,-0.02011782377929044,-0.05844155844155844,0.4444444444444444,0.4444444444444444,0.4962962962962963,0.6814814814814815,0.5152906033001357,0.5644171779141104
