root,morning_state,days,share,mean_morning_range,median_morning_range,mean_morning_range_ratio,median_morning_range_ratio
MNQ,standard,619,0.8220451527224436,150.96486268174476,139.75,0.9130655860251501,0.8990990990990991
MNQ,exhaustion,134,0.17795484727755645,305.26119402985074,278.125,1.8961754958453265,1.7157758942747736
NQ,standard,618,0.8207171314741036,150.4757281553398,139.75,0.9111684965363416,0.8998631055740838
NQ,exhaustion,135,0.17928286852589642,304.85555555555555,277.5,1.8962308336097662,1.7132075471698114
