root,cohort,state,days,trend_continuation_failure_rate,new_high_or_low_during_lunch_rate,mean_close_location_within_lunch_range,median_close_location_within_lunch_range
MNQ,primary_2023_2025,unconditional,753,0.47941567065073043,0.7569721115537849,0.5765651897949957,0.6231884057971014
MNQ,primary_2023_2025,standard,619,0.4765751211631664,0.7722132471728594,0.5903940636951945,0.6475095785440613
MNQ,primary_2023_2025,exhaustion,134,0.4925373134328358,0.6865671641791045,0.5126840484201962,0.561131190729715
NQ,primary_2023_2025,unconditional,753,0.47941567065073043,0.7556440903054449,0.5771183059865069,0.6219512195121951
NQ,primary_2023_2025,standard,618,0.47572815533980584,0.7718446601941747,0.5906243575442094,0.644009493336408
NQ,primary_2023_2025,exhaustion,135,0.4962962962962963,0.6814814814814815,0.5152906033001357,0.5644171779141104
