period,feature,spearman_net_pnl,spearman_pvalue,profitable_median,unprofitable_median
validation,depth_ratio_20,0.06666667,0.78626296,1.01257187,1.01401075
validation,signed_book_slope,0.14561404,0.55196967,0.00107723,-0.02223351
validation,signed_nq_ret_1m,-0.42807018,0.06748817,-0.00017221,0.00045674
validation,signed_nq_ret_5m,-0.06491228,0.79176821,-0.00093459,0.00102544
validation,signed_mnq_nq_div_1m,0.26842105,0.26650986,0.00003408,-0.00003414
validation,trade_live_ratio,-0.07867321,0.74885912,0.26666667,0.76666667
validation,quote_live_ratio,-0.07867321,0.74885912,0.15833333,0.78333333
validation,depth_live_ratio,-0.12378152,0.61364981,0.07500000,0.41666667
validation,quality_ratio_60,-0.43612266,0.07040267,0.98333333,1.00000000
final_test,risk_points,0.11445925,0.31203105,13.12500000,12.00000000
final_test,atr_14,0.41771493,0.00035540,31.93750000,9.64285714
final_test,rv_15m_atr,0.32533547,0.00678701,1.09341277,0.59083013
final_test,range_1m_atr,-0.37164860,0.00166549,0.50552782,1.28464419
final_test,signed_ret_1m,-0.02807532,0.80723131,0.00026230,0.00023781
final_test,signed_ret_5m,0.06609658,0.56790904,0.00051797,0.00034475
final_test,signed_ret_15m,0.14929134,0.21739036,0.00072590,0.00030858
final_test,signed_ret_60m,0.18471894,0.14073357,0.00149036,0.00012513
final_test,signed_dist_vwap_atr,0.08437015,0.49066084,0.81326358,0.79199549
final_test,volume_ratio_20,-0.31447556,0.00566331,1.27438002,1.83968463
final_test,trades_ratio_20,-0.32336214,0.00438208,1.25331326,1.77334209
final_test,signed_delta_pct,-0.17118041,0.12895961,0.15240135,0.18695982
final_test,signed_delta_ratio_20,-0.25801159,0.02443234,1.56844670,2.24554998
final_test,spread_atr,-0.41196675,0.00043629,0.01866544,0.06325301
final_test,quote_ratio_20,-0.29507547,0.00966281,0.96843352,1.41989449
final_test,signed_depth_imbalance,-0.26154126,0.01910748,-0.02589022,-0.00422923
final_test,signed_depth_imbalance_change,-0.28565233,0.01021403,-0.02216780,0.03171184
final_test,signed_depth_imbalance_persist_10,-0.00624739,0.95670796,-0.00633695,-0.00741936
final_test,depth_ratio_20,-0.19673521,0.08850006,1.01566235,1.06327785
final_test,signed_book_slope,0.14474849,0.20017532,0.01478828,0.00658914
final_test,signed_nq_ret_1m,0.13596297,0.23525660,0.00026361,0.00023362
final_test,signed_nq_ret_5m,0.09187713,0.42369327,0.00047761,0.00044621
final_test,signed_mnq_nq_div_1m,-0.18309712,0.10859095,-0.00000824,0.00000000
final_test,trade_live_ratio,0.01797637,0.87424579,1.00000000,1.00000000
final_test,quote_live_ratio,0.01761956,0.87672213,1.00000000,1.00000000
final_test,depth_live_ratio,0.03565487,0.75353048,1.00000000,1.00000000
final_test,quality_ratio_60,-0.04241683,0.73725470,1.00000000,1.00000000
