dimension,value,period,trades,profitable_rate,net_pnl,avg_net_pnl,median_net_pnl,max_drawdown,positive_days,negative_days,best_day,best_day_pnl,best_day_share,leave_best_day_out_pnl
volume_state,higher_volume,validation,3,0.33333333,24.06002700,8.02000900,-14.47999900,74.95998550,1,2,2026-05-20,99.02001250,4.11554037,-74.95998550
volume_state,lower_volume,validation,16,0.68750000,422.32003600,26.39500225,36.52000375,79.95999250,5,0,2026-05-19,180.14000350,0.42654856,242.18003250
signed_delta_state,higher_signed_delta,early_development,24,0.41666667,101.98004850,4.24916869,-12.22999950,211.38001150,8,4,2026-04-06,63.02000050,0.61796402,38.96004800
signed_delta_state,lower_signed_delta,early_development,23,0.43478261,117.46005100,5.10695874,-14.97999800,112.39998600,5,6,2026-04-08,170.08000450,1.44798170,-52.61995350
signed_delta_state,higher_signed_delta,final_test,33,0.48484848,143.16007650,4.33818414,-1.98000050,142.85998950,5,3,2026-05-28,104.14002500,0.72743762,39.02005150
signed_delta_state,lower_signed_delta,final_test,47,0.55319149,702.43997800,14.94553145,19.02000000,151.39998450,6,3,2026-05-28,279.27997700,0.39758554,423.16000100
signed_delta_state,higher_signed_delta,late_development,41,0.39024390,-368.67997250,-8.99219445,-18.48000000,419.23996800,5,12,2026-04-24,93.03999500,0.00000000,-461.71996750
signed_delta_state,lower_signed_delta,late_development,42,0.33333333,-160.15997550,-3.81333275,-22.22999800,359.57995550,5,14,2026-05-14,140.06000300,0.00000000,-300.21997850
signed_delta_state,higher_signed_delta,validation,7,0.42857143,42.64003650,6.09143379,-14.47999900,60.47998650,2,2,2026-05-20,99.02001250,2.32223095,-56.37997600
signed_delta_state,lower_signed_delta,validation,12,0.75000000,403.74002650,33.64500221,43.52000475,58.98000800,5,0,2026-05-19,143.11999800,0.35448553,260.62002850
