instrument,timeframe,variant,signal_time,entry_time,exit_time,entry_session_time,session_rollup,rth_segment,trading_day,direction,reason,level,entry,stop,target,exit,outcome,r,mfe_r,mae_r,risk_points,delta,delta_pct,depth_imbalance,wick_ratio,volume_ratio,signal_volume,bid_volume,ask_volume,depth_bid_churn,depth_ask_churn,top_bid_churn,top_ask_churn,quote_bid_churn,quote_ask_churn,bid_quote_updates,ask_quote_updates,signal_trades,signal_depth_rows,pnl
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T00:36:00Z,2025-01-24 00:36:00+00:00,2025-01-24 00:37:00+00:00,2025-01-23T19:36:00-05:00,overnight,overnight,2025-01-24,short,vwap_bear_rejection,22006.1758000000,22004.7500000000,22005.7500000000,22002.7500000000,22005.7500000000,stop,-2.1200000000,0.2500000000,-1.7500000000,1.0000000000,-30,-0.1875000000,0.0000000000,0.0000000000,1.2204420000,160,95,65,0,0,0,0,0,0,0,0,89,0,-4.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T01:07:00Z,2025-01-24 01:07:00+00:00,2025-01-24 01:12:00+00:00,2025-01-23T20:07:00-05:00,overnight,overnight,2025-01-24,long,vwap_bull_rejection,22005.8370000000,22011.7500000000,22006.7500000000,22021.7500000000,22021.7500000000,target,1.7760000000,2.0000000000,-0.1000000000,5.0000000000,200,0.4149380000,0.0000000000,0.0000000000,1.3057020000,482,141,341,0,0,0,0,0,0,0,0,275,0,17.7600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T01:38:00Z,2025-01-24 01:38:00+00:00,2025-01-24 01:52:00+00:00,2025-01-23T20:38:00-05:00,overnight,overnight,2025-01-24,short,vwap_bear_rejection,22012.3945000000,22008.2500000000,22012.2500000000,22000.2500000000,22012.2500000000,stop,-1.2800000000,1.8125000000,-1.1250000000,4.0000000000,-230,-0.3911560000,0.0000000000,0.0000000000,1.2342570000,588,409,179,0,0,0,0,0,0,0,0,349,0,-10.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T01:53:00Z,2025-01-24 01:53:00+00:00,2025-01-24 02:04:00+00:00,2025-01-23T20:53:00-05:00,overnight,overnight,2025-01-24,short,vwap_bear_rejection,22011.7425000000,22007.7500000000,22012.0000000000,21999.2500000000,22012.0000000000,stop,-1.2635290000,0.8235290000,-1.5294120000,4.2500000000,-120,-0.2643170000,0.0000000000,0.0000000000,1.2013760000,454,287,167,0,0,0,0,0,0,0,0,249,0,-10.7399965000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T02:05:00Z,2025-01-24 02:05:00+00:00,2025-01-24 02:17:00+00:00,2025-01-23T21:05:00-05:00,overnight,overnight,2025-01-24,long,vwap_bull_rejection,22011.6871000000,22020.0000000000,22010.5000000000,22039.0000000000,22039.0000000000,target,1.8821050000,2.7631580000,-0.4210530000,9.5000000000,112,0.1066670000,0.0000000000,0.0000000000,3.7988420000,1050,469,581,0,0,0,0,0,0,0,0,564,0,35.7599950000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T09:41:00Z,2025-01-24 09:41:00+00:00,2025-01-24 09:43:00+00:00,2025-01-24T04:41:00-05:00,overnight,overnight,2025-01-24,short,vwap_bear_rejection,22010.2276000000,22006.0000000000,22009.5000000000,21999.0000000000,22009.5000000000,stop,-1.3200000000,0.5714290000,-1.2142860000,3.5000000000,-101,-0.2410500000,0.0000000000,0.0000000000,1.2747190000,419,260,159,0,0,0,0,0,0,0,0,205,0,-9.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T11:30:00Z,2025-01-24 11:30:00+00:00,2025-01-24 11:50:00+00:00,2025-01-24T06:30:00-05:00,overnight,overnight,2025-01-24,short,vwap_bear_rejection,22008.8414000000,21998.2500000000,22008.2500000000,21978.2500000000,22008.2500000000,stop,-1.1120000000,0.8250000000,-1.1750000000,10.0000000000,-214,-0.3992540000,0.0000000000,0.0000000000,2.6352020000,536,375,161,0,0,0,0,0,0,0,0,322,0,-22.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T12:01:00Z,2025-01-24 12:01:00+00:00,2025-01-24 12:18:00+00:00,2025-01-24T07:01:00-05:00,overnight,overnight,2025-01-24,long,vwap_bull_rejection,22008.5968000000,22014.2500000000,22008.2500000000,22026.2500000000,22026.2500000000,target,1.8133330000,2.5416670000,-0.7083330000,6.0000000000,197,0.2528880000,0.0000000000,0.0000000000,3.4189160000,779,291,488,0,0,0,0,0,0,0,0,473,0,21.7599960000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T13:13:00Z,2025-01-24 13:13:00+00:00,2025-01-24 13:33:00+00:00,2025-01-24T08:13:00-05:00,overnight,overnight,2025-01-24,long,vwap_bull_rejection,22010.5521000000,22018.7500000000,22008.7500000000,22038.7500000000,22014.0000000000,timeout,-0.5870000000,0.9500000000,-0.7000000000,10.0000000000,191,0.2970450000,0.0000000000,0.0000000000,1.3308500000,643,226,417,0,0,0,0,0,0,0,0,291,0,-11.7400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T14:01:00Z,2025-01-24 14:01:00+00:00,2025-01-24 14:06:00+00:00,2025-01-24T09:01:00-05:00,overnight,overnight,2025-01-24,long,vwap_bull_rejection,22010.4884000000,22016.0000000000,22009.2500000000,22029.5000000000,22009.2500000000,stop,-1.1659260000,0.8518520000,-1.4074070000,6.7500000000,282,0.3085340000,0.0000000000,0.0000000000,1.8539550000,914,316,598,0,0,0,0,0,0,0,0,507,0,-15.7400010000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T14:34:00Z,2025-01-24 14:34:00+00:00,2025-01-24 14:36:00+00:00,2025-01-24T09:34:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-24,long,vwap_bull_rejection,22015.1866000000,22026.5000000000,22011.5000000000,22056.5000000000,22011.5000000000,stop,-1.0746670000,0.3000000000,-1.2833330000,15.0000000000,1246,0.1486520000,0.0000000000,0.0000000000,3.6704400000,8382,3568,4814,0,0,0,0,0,0,0,0,4167,0,-32.2400100000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T14:39:00Z,2025-01-24 14:39:00+00:00,2025-01-24 14:40:00+00:00,2025-01-24T09:39:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-24,short,vwap_bear_rejection,22015.2409000000,22006.2500000000,22013.7500000000,21991.2500000000,22013.7500000000,stop,-1.1493330000,0.4333330000,-2.3666670000,7.5000000000,-830,-0.1139170000,0.0000000000,0.0000000000,2.0455660000,7286,4058,3228,0,0,0,0,0,0,0,0,3709,0,-17.2399950000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-24T16:57:00Z,2025-01-24 16:57:00+00:00,2025-01-24 17:17:00+00:00,2025-01-24T11:57:00-05:00,rth_09_30_16_00,rth_lunch_11_30_13_30,2025-01-24,short,vwap_bear_rejection,22017.0230000000,21995.0000000000,22017.2500000000,21950.5000000000,21989.5000000000,timeout,0.1968540000,1.0337080000,-0.3707870000,22.2500000000,-1791,-0.2817370000,0.0000000000,0.0000000000,4.0643180000,6357,4074,2283,0,0,0,0,0,0,0,0,3422,0,8.7600030000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-26T23:05:00Z,2025-01-26 23:05:00+00:00,2025-01-26 23:07:00+00:00,2025-01-26T18:05:00-05:00,overnight,overnight,2025-01-27,short,vwap_bear_rejection,21706.6980000000,21681.2500000000,21706.2500000000,21631.2500000000,21706.2500000000,stop,-1.0448000000,0.2700000000,-1.1400000000,25.0000000000,-605,-0.2113170000,0.0000000000,0.0000000000,4.1238750000,2863,1734,1129,0,0,0,0,0,0,0,0,1486,0,-52.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-27T15:24:00Z,2025-01-27 15:24:00+00:00,2025-01-27 15:31:00+00:00,2025-01-27T10:24:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-27,long,vwap_bull_rejection,21261.8969000000,21300.5000000000,21264.2500000000,21373.0000000000,21373.0000000000,target,1.9691030000,2.1862070000,-0.2758620000,36.2500000000,1275,0.1495600000,0.0000000000,0.0000000000,1.4357050000,8525,3625,4900,0,0,0,0,0,0,0,0,4750,0,142.7599675000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-27T16:21:00Z,2025-01-27 16:21:00+00:00,2025-01-27 16:29:00+00:00,2025-01-27T11:21:00-05:00,rth_09_30_16_00,rth_mid_11_00_11_30,2025-01-27,short,vwap_bear_rejection,21273.3918000000,21248.2500000000,21272.7500000000,21199.2500000000,21199.2500000000,target,1.9542860000,2.1632650000,-0.6938780000,24.5000000000,-606,-0.1247430000,0.0000000000,0.0000000000,1.2020590000,4858,2732,2126,0,0,0,0,0,0,0,0,2564,0,95.7600140000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-27T23:15:00Z,2025-01-27 23:15:00+00:00,2025-01-27 23:21:00+00:00,2025-01-27T18:15:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21336.2653000000,21317.5000000000,21335.2500000000,21282.0000000000,21282.0000000000,target,1.9369010000,2.9014080000,-0.1126760000,17.7500000000,-161,-0.2277230000,0.0000000000,0.0000000000,1.2757130000,707,434,273,0,0,0,0,0,0,0,0,454,0,68.7599855000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-27T23:51:00Z,2025-01-27 23:51:00+00:00,2025-01-27 23:55:00+00:00,2025-01-27T18:51:00-05:00,overnight,overnight,2025-01-28,long,vwap_bull_rejection,21299.4023000000,21310.7500000000,21301.5000000000,21329.2500000000,21329.2500000000,target,1.8789190000,2.1891890000,0.0000000000,9.2500000000,465,0.3452120000,0.0000000000,0.0000000000,2.7908420000,1347,441,906,0,0,0,0,0,0,0,0,863,0,34.7600015000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T01:07:00Z,2025-01-28 01:07:00+00:00,2025-01-28 01:19:00+00:00,2025-01-27T20:07:00-05:00,overnight,overnight,2025-01-28,long,vwap_bull_rejection,21301.0504000000,21309.7500000000,21300.5000000000,21328.2500000000,21300.5000000000,stop,-1.1210810000,1.2702700000,-1.2162160000,9.2500000000,104,0.1364830000,0.0000000000,0.0000000000,2.2029490000,762,329,433,0,0,0,0,0,0,0,0,486,0,-20.7399985000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T01:48:00Z,2025-01-28 01:48:00+00:00,2025-01-28 01:52:00+00:00,2025-01-27T20:48:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21302.7624000000,21291.5000000000,21303.5000000000,21267.5000000000,21303.5000000000,stop,-1.0933330000,0.2083330000,-1.0000000000,12.0000000000,-195,-0.2094520000,0.0000000000,0.0000000000,2.8475300000,931,563,368,0,0,0,0,0,0,0,0,569,0,-26.2399920000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T01:54:00Z,2025-01-28 01:54:00+00:00,2025-01-28 01:59:00+00:00,2025-01-27T20:54:00-05:00,overnight,overnight,2025-01-28,long,vwap_bull_rejection,21302.6949000000,21308.5000000000,21301.7500000000,21322.0000000000,21301.7500000000,stop,-1.1659260000,0.6666670000,-9.1481480000,6.7500000000,159,0.2814160000,0.0000000000,0.0000000000,1.5282660000,565,203,362,0,0,0,0,0,0,0,0,318,0,-15.7400010000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T02:33:00Z,2025-01-28 02:33:00+00:00,2025-01-28 02:35:00+00:00,2025-01-27T21:33:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21294.1748000000,21286.0000000000,21293.2500000000,21271.5000000000,21293.2500000000,stop,-1.1544830000,0.1724140000,-1.8965520000,7.2500000000,-159,-0.2420090000,0.0000000000,0.0000000000,1.5909920000,657,408,249,0,0,0,0,0,0,0,0,399,0,-16.7400035000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T03:03:00Z,2025-01-28 03:03:00+00:00,2025-01-28 03:05:00+00:00,2025-01-27T22:03:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21293.4928000000,21285.2500000000,21292.7500000000,21270.2500000000,21292.7500000000,stop,-1.1493330000,0.1000000000,-1.5000000000,7.5000000000,-109,-0.2718200000,0.0000000000,0.0000000000,1.2323290000,401,255,146,0,0,0,0,0,0,0,0,229,0,-17.2399950000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T03:55:00Z,2025-01-28 03:55:00+00:00,2025-01-28 04:08:00+00:00,2025-01-27T22:55:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21294.9903000000,21286.2500000000,21294.7500000000,21269.2500000000,21294.7500000000,stop,-1.1317650000,0.6764710000,-1.2352940000,8.5000000000,-132,-0.2348750000,0.0000000000,0.0000000000,1.6713750000,562,347,215,0,0,0,0,0,0,0,0,301,0,-19.2400050000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T04:10:00Z,2025-01-28 04:10:00+00:00,2025-01-28 04:12:00+00:00,2025-01-27T23:10:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21294.8348000000,21285.5000000000,21294.0000000000,21268.5000000000,21294.0000000000,stop,-1.1317650000,0.3823530000,-1.1764710000,8.5000000000,-68,-0.2138360000,0.0000000000,0.0000000000,1.2404920000,318,193,125,0,0,0,0,0,0,0,0,170,0,-19.2400050000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T04:14:00Z,2025-01-28 04:14:00+00:00,2025-01-28 04:17:00+00:00,2025-01-27T23:14:00-05:00,overnight,overnight,2025-01-28,long,vwap_bull_rejection,21294.8388000000,21299.0000000000,21295.2500000000,21306.5000000000,21295.2500000000,stop,-1.2986670000,0.8666670000,-1.9333330000,3.7500000000,246,0.3586010000,0.0000000000,0.0000000000,2.6044040000,686,220,466,0,0,0,0,0,0,0,0,357,0,-9.7400025000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T04:21:00Z,2025-01-28 04:21:00+00:00,2025-01-28 04:23:00+00:00,2025-01-27T23:21:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21294.8367000000,21285.0000000000,21295.7500000000,21263.5000000000,21295.7500000000,stop,-1.1041860000,0.0465120000,-1.2558140000,10.7500000000,-182,-0.4550000000,0.0000000000,0.0000000000,1.3852810000,400,291,109,0,0,0,0,0,0,0,0,230,0,-23.7399990000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T06:38:00Z,2025-01-28 06:38:00+00:00,2025-01-28 06:40:00+00:00,2025-01-28T01:38:00-05:00,overnight,overnight,2025-01-28,long,vwap_bull_rejection,21293.7501000000,21297.0000000000,21292.0000000000,21307.0000000000,21292.0000000000,stop,-1.2240000000,0.8000000000,-4.1500000000,5.0000000000,68,0.1717170000,0.0000000000,0.0000000000,1.3674030000,396,164,232,0,0,0,0,0,0,0,0,166,0,-12.2400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T12:03:00Z,2025-01-28 12:03:00+00:00,2025-01-28 12:11:00+00:00,2025-01-28T07:03:00-05:00,overnight,overnight,2025-01-28,short,vwap_bear_rejection,21323.8607000000,21311.2500000000,21323.0000000000,21287.7500000000,21287.7500000000,target,1.9046810000,2.0851060000,-0.8723400000,11.7500000000,-365,-0.2701700000,0.0000000000,0.0000000000,2.1664530000,1351,858,493,0,0,0,0,0,0,0,0,771,0,44.7600035000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T14:32:00Z,2025-01-28 14:32:00+00:00,2025-01-28 14:52:00+00:00,2025-01-28T09:32:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-28,short,vwap_bear_rejection,21315.4274000000,21251.7500000000,21314.0000000000,21127.2500000000,21236.5000000000,timeout,0.2269880000,1.4618470000,-0.6305220000,62.2500000000,-2549,-0.1815660000,0.0000000000,0.0000000000,8.4295540000,14039,8294,5745,0,0,0,0,0,0,0,0,8011,0,28.2600060000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-28T23:46:00Z,2025-01-28 23:46:00+00:00,2025-01-28 23:48:00+00:00,2025-01-28T18:46:00-05:00,overnight,overnight,2025-01-29,long,vwap_bull_rejection,21556.2741000000,21561.5000000000,21556.7500000000,21571.0000000000,21556.7500000000,stop,-1.2357890000,0.5263160000,-1.0000000000,4.7500000000,66,0.2727270000,0.0000000000,0.0000000000,1.2458170000,242,88,154,0,0,0,0,0,0,0,0,149,0,-11.7399955000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T00:06:00Z,2025-01-29 00:06:00+00:00,2025-01-29 00:12:00+00:00,2025-01-28T19:06:00-05:00,overnight,overnight,2025-01-29,long,vwap_bull_rejection,21554.9652000000,21561.7500000000,21556.0000000000,21573.2500000000,21556.0000000000,stop,-1.1947830000,1.7826090000,-2.3478260000,5.7500000000,42,0.1228070000,0.0000000000,0.0000000000,1.6048800000,342,150,192,0,0,0,0,0,0,0,0,201,0,-13.7400045000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T00:31:00Z,2025-01-29 00:31:00+00:00,2025-01-29 00:32:00+00:00,2025-01-28T19:31:00-05:00,overnight,overnight,2025-01-29,long,vwap_bull_rejection,21555.3746000000,21556.2500000000,21555.0000000000,21558.7500000000,21555.0000000000,stop,-1.8960000000,1.0000000000,-2.2000000000,1.2500000000,138,0.3556700000,0.0000000000,0.0000000000,2.3479580000,388,125,263,0,0,0,0,0,0,0,0,213,0,-4.7400000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T13:07:00Z,2025-01-29 13:07:00+00:00,2025-01-29 13:08:00+00:00,2025-01-29T08:07:00-05:00,overnight,overnight,2025-01-29,short,vwap_bear_rejection,21636.0241000000,21633.2500000000,21635.2500000000,21629.2500000000,21629.2500000000,target,1.4400000000,5.7500000000,-0.1250000000,2.0000000000,-127,-0.1475030000,0.0000000000,0.0000000000,1.7995610000,861,494,367,0,0,0,0,0,0,0,0,513,0,5.7600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T19:42:00Z,2025-01-29 19:42:00+00:00,2025-01-29 19:44:00+00:00,2025-01-29T14:42:00-05:00,rth_09_30_16_00,rth_afternoon_13_30_15_00,2025-01-29,long,vwap_bull_rejection,21523.5826000000,21560.2500000000,21516.7500000000,21647.2500000000,21516.7500000000,stop,-1.0257470000,0.0747130000,-1.1724140000,43.5000000000,1333,0.1477660000,0.0000000000,0.0000000000,2.0724350000,9021,3844,5177,0,0,0,0,0,0,0,0,5512,0,-89.2399890000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T23:07:00Z,2025-01-29 23:07:00+00:00,2025-01-29 23:13:00+00:00,2025-01-29T18:07:00-05:00,overnight,overnight,2025-01-30,long,vwap_bull_rejection,21552.4041000000,21578.7500000000,21552.2500000000,21631.7500000000,21552.2500000000,stop,-1.0422640000,0.1981130000,-1.0188680000,26.5000000000,366,0.3433400000,0.0000000000,0.0000000000,1.6694070000,1066,350,716,0,0,0,0,0,0,0,0,662,0,-55.2399920000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-29T23:56:00Z,2025-01-29 23:56:00+00:00,2025-01-29 23:59:00+00:00,2025-01-29T18:56:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21542.8067000000,21538.0000000000,21545.2500000000,21523.5000000000,21545.2500000000,stop,-1.1544830000,0.6206900000,-1.0000000000,7.2500000000,-94,-0.2473680000,0.0000000000,0.0000000000,1.3178430000,380,237,143,0,0,0,0,0,0,0,0,214,0,-16.7400035000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T00:01:00Z,2025-01-30 00:01:00+00:00,2025-01-30 00:09:00+00:00,2025-01-29T19:01:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21542.5922000000,21533.2500000000,21541.5000000000,21516.7500000000,21541.5000000000,stop,-1.1357580000,0.8484850000,-1.9090910000,8.2500000000,-90,-0.1948050000,0.0000000000,0.0000000000,1.6855160000,462,276,186,0,0,0,0,0,0,0,0,311,0,-18.7400070000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T10:04:00Z,2025-01-30 10:04:00+00:00,2025-01-30 10:10:00+00:00,2025-01-30T05:04:00-05:00,overnight,overnight,2025-01-30,long,vwap_bull_rejection,21634.8155000000,21645.7500000000,21636.0000000000,21665.2500000000,21636.0000000000,stop,-1.1148720000,0.2820510000,-1.3076920000,9.7500000000,164,0.3190660000,0.0000000000,0.0000000000,1.2703910000,514,175,339,0,0,0,0,0,0,0,0,329,0,-21.7400040000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T10:46:00Z,2025-01-30 10:46:00+00:00,2025-01-30 10:48:00+00:00,2025-01-30T05:46:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21634.3644000000,21629.7500000000,21634.5000000000,21620.2500000000,21634.5000000000,stop,-1.2357890000,0.5789470000,-1.4210530000,4.7500000000,-172,-0.3722940000,0.0000000000,0.0000000000,1.2272550000,462,317,145,0,0,0,0,0,0,0,0,278,0,-11.7399955000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T12:07:00Z,2025-01-30 12:07:00+00:00,2025-01-30 12:09:00+00:00,2025-01-30T07:07:00-05:00,overnight,overnight,2025-01-30,long,vwap_bull_rejection,21635.9948000000,21647.7500000000,21637.2500000000,21668.7500000000,21637.2500000000,stop,-1.1066670000,0.0714290000,-1.5476190000,10.5000000000,270,0.1776320000,0.0000000000,0.0000000000,2.2577050000,1520,625,895,0,0,0,0,0,0,0,0,833,0,-23.2400070000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T13:01:00Z,2025-01-30 13:01:00+00:00,2025-01-30 13:08:00+00:00,2025-01-30T08:01:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21631.7733000000,21623.5000000000,21635.2500000000,21600.0000000000,21635.2500000000,stop,-1.0953190000,0.4468090000,-1.1063830000,11.7500000000,-215,-0.1519430000,0.0000000000,0.0000000000,2.8467960000,1415,815,600,0,0,0,0,0,0,0,0,784,0,-25.7399965000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T13:24:00Z,2025-01-30 13:24:00+00:00,2025-01-30 13:25:00+00:00,2025-01-30T08:24:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21631.9070000000,21627.7500000000,21632.0000000000,21619.2500000000,21632.0000000000,stop,-1.2635290000,0.4705880000,-1.1176470000,4.2500000000,-219,-0.2332270000,0.0000000000,0.0000000000,1.6472240000,939,579,360,0,0,0,0,0,0,0,0,466,0,-10.7399965000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T14:23:00Z,2025-01-30 14:23:00+00:00,2025-01-30 14:24:00+00:00,2025-01-30T09:23:00-05:00,overnight,overnight,2025-01-30,short,vwap_bear_rejection,21633.7983000000,21629.2500000000,21633.5000000000,21620.7500000000,21620.7500000000,target,1.7364710000,2.6470590000,-0.2941180000,4.2500000000,-206,-0.1292350000,0.0000000000,0.0000000000,1.3027670000,1594,900,694,0,0,0,0,0,0,0,0,927,0,14.7600035000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T14:29:00Z,2025-01-30 14:29:00+00:00,2025-01-30 14:31:00+00:00,2025-01-30T09:29:00-05:00,overnight,overnight,2025-01-30,long,vwap_bull_rejection,21633.7163000000,21659.5000000000,21634.0000000000,21710.5000000000,21634.0000000000,stop,-1.0439220000,0.1764710000,-1.0784310000,25.5000000000,667,0.2096820000,0.0000000000,0.0000000000,2.4004830000,3181,1257,1924,0,0,0,0,0,0,0,0,1818,0,-53.2400220000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T14:32:00Z,2025-01-30 14:32:00+00:00,2025-01-30 14:35:00+00:00,2025-01-30T09:32:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-30,long,vwap_bull_rejection,21634.4392000000,21661.7500000000,21629.2500000000,21726.7500000000,21629.2500000000,stop,-1.0344620000,0.2153850000,-1.3307690000,32.5000000000,1111,0.1090610000,0.0000000000,0.0000000000,5.5190160000,10187,4538,5649,0,0,0,0,0,0,0,0,5878,0,-67.2400300000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T16:57:00Z,2025-01-30 16:57:00+00:00,2025-01-30 17:01:00+00:00,2025-01-30T11:57:00-05:00,rth_09_30_16_00,rth_lunch_11_30_13_30,2025-01-30,long,vwap_bull_rejection,21598.4845000000,21617.5000000000,21600.5000000000,21651.5000000000,21600.5000000000,stop,-1.0658820000,0.4558820000,-1.8088240000,17.0000000000,801,0.2314360000,0.0000000000,0.0000000000,1.2649850000,3461,1330,2131,0,0,0,0,0,0,0,0,1866,0,-36.2399880000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-30T23:57:00Z,2025-01-30 23:57:00+00:00,2025-01-31 00:01:00+00:00,2025-01-30T18:57:00-05:00,overnight,overnight,2025-01-31,long,vwap_bull_rejection,21690.1675000000,21699.0000000000,21689.7500000000,21717.5000000000,21689.7500000000,stop,-1.1210810000,0.3783780000,-1.7567570000,9.2500000000,193,0.3029830000,0.0000000000,0.0000000000,1.8593110000,637,222,415,0,0,0,0,0,0,0,0,384,0,-20.7399985000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-31T00:02:00Z,2025-01-31 00:02:00+00:00,2025-01-31 00:06:00+00:00,2025-01-30T19:02:00-05:00,overnight,overnight,2025-01-31,short,vwap_bear_rejection,21690.0321000000,21685.0000000000,21689.7500000000,21675.5000000000,21689.7500000000,stop,-1.2357890000,0.8947370000,-1.5789470000,4.7500000000,-312,-0.2300880000,0.0000000000,0.0000000000,3.6276080000,1356,834,522,0,0,0,0,0,0,0,0,656,0,-11.7399955000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-31T04:54:00Z,2025-01-31 04:54:00+00:00,2025-01-31 04:57:00+00:00,2025-01-30T23:54:00-05:00,overnight,overnight,2025-01-31,long,vwap_bull_rejection,21722.9506000000,21723.7500000000,21722.0000000000,21727.2500000000,21727.2500000000,target,1.3600000000,2.1428570000,-0.7142860000,1.7500000000,92,0.4299070000,0.0000000000,0.0000000000,1.2128080000,214,61,153,0,0,0,0,0,0,0,0,108,0,4.7600000000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-31T14:18:00Z,2025-01-31 14:18:00+00:00,2025-01-31 14:24:00+00:00,2025-01-31T09:18:00-05:00,overnight,overnight,2025-01-31,long,vwap_bull_rejection,21759.1453000000,21765.5000000000,21754.5000000000,21787.5000000000,21754.5000000000,stop,-1.1018180000,0.5909090000,-1.3636360000,11.0000000000,280,0.1923080000,0.0000000000,0.0000000000,1.2995360000,1456,588,868,0,0,0,0,0,0,0,0,846,0,-24.2399960000
MNQ DATABENTO,1,vwap_delta_rejection,2025-01-31T14:38:00Z,2025-01-31 14:38:00+00:00,2025-01-31 14:50:00+00:00,2025-01-31T09:38:00-05:00,rth_09_30_16_00,rth_open_09_30_11_00,2025-01-31,long,vwap_bull_rejection,21766.1531000000,21791.5000000000,21769.5000000000,21835.5000000000,21835.5000000000,target,1.9490910000,2.0454550000,-0.5909090000,22.0000000000,867,0.1386090000,0.0000000000,0.0000000000,1.7370170000,6255,2694,3561,0,0,0,0,0,0,0,0,3918,0,85.7600040000
