root,globex_state,days,share,mean_globex_range,median_globex_range,mean_globex_range_ratio,median_globex_range_ratio
MNQ,compression,160,0.21248339973439576,95.628125,87.875,0.5714282496160429,0.5930369285283026
MNQ,neutral,371,0.49269588313413015,149.6421832884097,138.0,0.9524850897471274,0.928644240570846
MNQ,expansion,222,0.2948207171314741,283.1813063063063,240.625,1.8862831905246273,1.6966572226412018
NQ,compression,165,0.21912350597609562,92.96212121212122,85.5,0.5713456077594807,0.5914585012087027
NQ,neutral,368,0.48871181938911024,151.19089673913044,139.375,0.9585675502110724,0.9293132812751053
NQ,expansion,220,0.2921646746347942,284.31136363636364,241.75,1.8945779405966623,1.690142477669105
