root,cohort,state,days,mean_rth_morning_range,median_rth_morning_range,mean_rth_morning_range_div_atr20,median_rth_morning_range_div_atr20,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,breached_globex_high_rate,breached_globex_low_rate,closed_outside_globex_range_rate,failed_breakout_reentry_rate,mean_max_extension_beyond_globex_range,median_max_extension_beyond_globex_range
MNQ,primary_2023_2025,unconditional,753,178.4226427622842,154.5,0.6483811522913558,0.5955334987593053,0.4761647161805349,0.48226950354609927,0.03294943631075481,0.018115942028985508,0.5298804780876494,0.4634794156706507,0.50066401062417,0.36786188579017265,72.7675962815405,50.75
MNQ,primary_2023_2025,compression,160,137.234375,124.875,0.489014516314338,0.43710239233649206,0.43812844451213656,0.44794603006812306,-0.035412959161931136,-0.055843066786463016,0.55625,0.5875,0.55625,0.3875,64.9859375,45.25
MNQ,primary_2023_2025,neutral,371,167.9043126684636,151.0,0.6267073308921789,0.593090437448414,0.49305594875650605,0.5074626865671642,0.08757051905349944,0.15444015444015444,0.5633423180592992,0.4420485175202156,0.5094339622641509,0.3665768194070081,72.74191374663073,53.0
MNQ,primary_2023_2025,expansion,222,225.6858108108108,188.875,0.7994606545229659,0.7400829633650503,0.47535010438440156,0.48110708925576057,-0.009061547571806014,-0.0215734566323567,0.45495495495495497,0.4099099099099099,0.44594594594594594,0.35585585585585583,78.41891891891892,56.125
NQ,primary_2023_2025,unconditional,753,178.15338645418328,154.75,0.6474070404457697,0.5935359846209299,0.47717006684696217,0.4863013698630137,0.0332989187417844,0.022535211267605635,0.5338645418326693,0.4648074369189907,0.50066401062417,0.3705179282868526,72.7121513944223,51.0
NQ,primary_2023_2025,compression,165,134.6560606060606,120.75,0.4896539327723281,0.4374349055200119,0.4407437096246714,0.4467680608365019,-0.024692992561277414,-0.05614973262032086,0.5757575757575758,0.593939393939394,0.5454545454545454,0.4121212121212121,63.71818181818182,43.25
NQ,primary_2023_2025,neutral,368,169.23777173913044,151.25,0.6286018783619249,0.5929335779647953,0.4944357013829901,0.5056903240888513,0.08126751476473382,0.14741282339707534,0.5597826086956522,0.4429347826086957,0.5190217391304348,0.3532608695652174,73.33627717391305,55.0
NQ,primary_2023_2025,expansion,220,225.68977272727273,188.75,0.7971777786865547,0.7237605277770163,0.4756091369943245,0.4816676916499778,-0.0034455265829437002,-0.022280860904978078,0.4590909090909091,0.40454545454545454,0.43636363636363634,0.36818181818181817,78.41363636363636,53.125
