root,cohort,state,days,breached_globex_high_rate,breached_globex_low_rate,closed_outside_globex_range_rate,failed_breakout_reentry_rate,mean_max_extension_beyond_globex_range,median_max_extension_beyond_globex_range
MNQ,primary_2023_2025,unconditional,753,0.5298804780876494,0.4634794156706507,0.50066401062417,0.36786188579017265,72.7675962815405,50.75
MNQ,primary_2023_2025,compression,160,0.55625,0.5875,0.55625,0.3875,64.9859375,45.25
MNQ,primary_2023_2025,neutral,371,0.5633423180592992,0.4420485175202156,0.5094339622641509,0.3665768194070081,72.74191374663073,53.0
MNQ,primary_2023_2025,expansion,222,0.45495495495495497,0.4099099099099099,0.44594594594594594,0.35585585585585583,78.41891891891892,56.125
NQ,primary_2023_2025,unconditional,753,0.5338645418326693,0.4648074369189907,0.50066401062417,0.3705179282868526,72.7121513944223,51.0
NQ,primary_2023_2025,compression,165,0.5757575757575758,0.593939393939394,0.5454545454545454,0.4121212121212121,63.71818181818182,43.25
NQ,primary_2023_2025,neutral,368,0.5597826086956522,0.4429347826086957,0.5190217391304348,0.3532608695652174,73.33627717391305,55.0
NQ,primary_2023_2025,expansion,220,0.4590909090909091,0.40454545454545454,0.43636363636363634,0.36818181818181817,78.41363636363636,53.125
