root,year,state,days,mean_rth_morning_range,median_rth_morning_range,mean_rth_morning_range_div_atr20,median_rth_morning_range_div_atr20,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,breached_globex_high_rate,breached_globex_low_rate,closed_outside_globex_range_rate,failed_breakout_reentry_rate,mean_max_extension_beyond_globex_range,median_max_extension_beyond_globex_range
MNQ,2023,unconditional,237,135.2542194092827,127.0,0.6507079549749667,0.6158472075282588,0.48233770086084815,0.5121951219512195,0.0481404397060651,0.049132947976878616,0.540084388185654,0.48523206751054854,0.540084388185654,0.3628691983122363,56.69092827004219,44.75
MNQ,2023,compression,51,111.37745098039215,98.5,0.5407841259503438,0.4942114991730713,0.4477871522323883,0.4576719576719577,-0.08026521379752644,-0.16666666666666666,0.49019607843137253,0.6078431372549019,0.5686274509803921,0.35294117647058826,57.86764705882353,42.5
MNQ,2023,neutral,124,134.7641129032258,129.5,0.6390631627289957,0.5990319233344211,0.4890864068617353,0.5186033291861513,0.0820099549922773,0.1593563964864077,0.5725806451612904,0.4596774193548387,0.5645161290322581,0.3467741935483871,58.877016129032256,45.25
MNQ,2023,expansion,62,155.875,147.125,0.7644187536645827,0.7310561029042999,0.49726090144054874,0.5550024062299481,0.08602541443498214,0.1583976157082749,0.5161290322580645,0.43548387096774194,0.46774193548387094,0.4032258064516129,51.350806451612904,42.375
MNQ,2024,unconditional,259,172.52027027027026,154.75,0.6569972674394567,0.6082971251711208,0.47309205490906997,0.46004319654427644,0.033252826632465246,0.0,0.5366795366795367,0.4671814671814672,0.5019305019305019,0.3590733590733591,70.93629343629344,50.0
MNQ,2024,compression,51,136.95098039215685,126.5,0.48076862111890634,0.4117772562406657,0.46153666763731854,0.46096654275092935,-0.07942184344882841,-0.15405777166437415,0.5882352941176471,0.6078431372549019,0.6666666666666666,0.27450980392156865,67.15686274509804,45.75
MNQ,2024,neutral,131,162.70801526717557,151.75,0.6365801505413966,0.6118565992389345,0.4693475390014429,0.45143638850889195,0.14295243713399017,0.1763157894736842,0.6030534351145038,0.4198473282442748,0.4580152671755725,0.4198473282442748,69.58969465648855,50.0
MNQ,2024,expansion,77,212.77272727272728,182.0,0.8084557515432745,0.7646158301957052,0.48711616315268635,0.48226950354609927,-0.07875030066044109,-0.17913832199546487,0.38961038961038963,0.45454545454545453,0.4675324675324675,0.3116883116883117,75.73051948051948,60.75
MNQ,2025,unconditional,257,224.17996108949416,194.75,0.6375522571186945,0.5580439092444379,0.4735686924454187,0.4795383001049318,0.018634860832110696,0.03015075376884422,0.5136186770428015,0.4396887159533074,0.46303501945525294,0.38132295719844356,89.4387159533074,66.75
MNQ,2025,compression,58,160.2198275862069,140.375,0.4507436639614195,0.43402698593690614,0.4090523501480482,0.40583101109416897,0.04272355954577788,0.08873697973990297,0.5862068965517241,0.5517241379310345,0.4482758620689655,0.5172413793103449,69.33620689655173,49.5
MNQ,2025,neutral,116,209.19827586206895,190.5,0.60234989535931,0.5156050947931862,0.5240734045570651,0.5880347302784223,0.03097119728666547,0.08034670429348922,0.5086206896551724,0.4482758620689655,0.5086206896551724,0.3275862068965517,91.1228448275862,69.875
MNQ,2025,expansion,83,289.81325301204816,256.25,0.8172916832296646,0.7238318212857283,0.44806750266585893,0.4730941704035874,-0.01543935066332366,-0.017488076311605722,0.46987951807228917,0.3493975903614458,0.40963855421686746,0.3614457831325301,101.13253012048193,73.25
NQ,2023,unconditional,237,135.081223628692,127.25,0.6494955365783304,0.6140183951791944,0.4829550411390425,0.5148861646234676,0.04899805195551619,0.043227665706051875,0.5485232067510548,0.48523206751054854,0.5358649789029536,0.37130801687763715,56.734177215189874,44.5
