source_file,source_row,family,variant,candidate_id,status_raw,net_dollars,profit_factor,max_drawdown_dollars,trades,largest_winner_share,net_without_largest,triage_score,suggested_status,score_reasons,missing_required_metrics,status_cap_reasons,suggested_status_rank
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,19,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:19,,316.820094,1.50849052,206.079977,41.0,0.09684215,,80.0,diagnostic_only,"positive_net,pf_primary_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,26,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:26,,219.4400995,1.29756205,230.059975,47.0,0.09511966,,80.0,diagnostic_only,"positive_net,pf_primary_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,0,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:0,,219.4400995,1.29756205,230.059975,47.0,0.09511966,,80.0,diagnostic_only,"positive_net,pf_primary_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv,0,unknown_other,period_payoff,unknown_other:period_payoff:reports/pattern_ml_20260612/payoff_asymmetry/period_payoff.csv:0,,219.4400995,1.29756205,230.059975,47.0,0.09511966,,80.0,diagnostic_only,"positive_net,pf_primary_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,4,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:4,,172.4400995,1.22557113,252.059975,47.0,0.09608282,,80.0,diagnostic_only,"positive_net,pf_primary_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_primary_validation_candidate_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,11,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:11,fail,1718.158571428565,1.639879101357685,630.1842857142899,23.0,0.3877756169187791,1051.898571428565,70.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_negative,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,24,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:24,fail,1695.158571428565,1.628504585032446,633.1842857142899,23.0,0.3924470614211411,1029.898571428565,70.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_negative,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv,37,ema_pullback,ema_pullback_trend,ema_pullback:ema_pullback_trend:reports/ema_forward_monitor_20260620/ema_forward_monitor_summary.csv:37,fail,1672.158571428565,1.6172308347803763,636.1842857142899,23.0,0.3972470143381837,1007.898571428565,70.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,positive_ex_largest,largest_share_ok,source_status_negative,capped_from_primary_validation_candidate_family_cap",,family_status_cap:ema_pullback<=diagnostic_only,1
reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv,8,unknown_other,cost_sensitivity,unknown_other:cost_sensitivity:reports/pattern_ml_20260612/payoff_asymmetry/cost_sensitivity.csv:8,,125.4400995,1.15849203,274.059975,47.0,0.09708801,,67.0,diagnostic_only,"positive_net,pf_monitor_level,sample_monitor_level,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv,25,unknown_other,cohort_payoff,unknown_other:cohort_payoff:reports/pattern_ml_20260612/payoff_asymmetry/cohort_payoff.csv:25,,529.8000735,4.71998394,79.9599925,15.0,0.15920384,,58.0,diagnostic_only,"positive_net,pf_primary_level,thin_sample,preferred_drawdown,largest_share_ok,capped_from_research_monitor_missing_required",net_without_largest,missing_required_for_promotion:net_without_largest,1
