root,compression_days,neutral_days,expansion_days,compression_median_range,neutral_median_range,expansion_median_range,expansion_median_range_above_compression,session_convention
MNQ,17,20,20,440.25,454.375,425.5,False,calendar_date_after_converting_utc_bars_to_America_New_York; document if changed before interpreting results
NQ,17,20,20,440.5,454.125,427.0,False,calendar_date_after_converting_utc_bars_to_America_New_York; document if changed before interpreting results
