root,state,days,comparable_next_state_days,mean_range,median_range,mean_close_to_close_return_points,median_close_to_close_return_points,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,same_state_next_day_probability
MNQ,compression,17,17,483.05882352941177,440.25,-11.382352941176471,23.25,0.3691433159648583,0.3326293558606125,0.022696338374978475,0.0826645264847512,0.29411764705882354
MNQ,expansion,20,19,506.1125,425.5,-48.4375,-23.625,0.49587768187802383,0.5877830336384319,-0.00044277991151870364,0.024317070955411683,0.3684210526315789
MNQ,neutral,20,20,482.6875,454.375,-23.9875,-40.875,0.5242977721495652,0.5110666534239513,-0.03690358182955622,-0.06374975322721986,0.35
NQ,compression,17,17,481.52941176470586,440.5,-11.25,22.0,0.37020822488504357,0.33174854727945063,0.022702985580049576,0.08213141025641026,0.29411764705882354
NQ,expansion,20,19,504.5125,427.0,-48.4125,-23.75,0.4938827753780231,0.5874301228731609,0.0053592669414873175,0.02518552893194946,0.3684210526315789
NQ,neutral,20,20,484.55,454.125,-24.15,-41.125,0.5233435484180322,0.5094423883823262,-0.03591370209219611,-0.06641675627316011,0.35
