root,session_date,timestamp_first,timestamp_last,open,high,low,close,volume,source_label,source_path,tr,close_to_close_return_points,trendiness,signed_trendiness,prior_day_tr,atr20,range_ratio,state,state_next,range_ratio_bin
MNQ,2023-01-02,2023-01-02 23:00:00+00:00,2023-01-03 04:59:00+00:00,11117.0,11151.0,10951.75,11022.25,106129,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,199.25,,0.4755332496863237,-0.4755332496863237,,,,unclassified,unclassified,
MNQ,2023-01-03,2023-01-03 05:00:00+00:00,2023-01-04 04:59:00+00:00,11022.0,11181.75,10844.25,10983.5,1024714,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,337.5,-38.75,0.11407407407407408,-0.11407407407407408,199.25,,,unclassified,unclassified,
MNQ,2023-01-04,2023-01-04 05:00:00+00:00,2023-01-05 04:59:00+00:00,10983.0,11068.0,10863.25,10983.25,1228793,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,204.75,-0.25,0.001221001221001221,0.001221001221001221,337.5,,,unclassified,unclassified,
MNQ,2023-01-05,2023-01-05 05:00:00+00:00,2023-01-06 04:59:00+00:00,10983.0,11046.25,10804.75,10874.25,1093875,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,241.5,-109.0,0.4503105590062112,-0.4503105590062112,204.75,,,unclassified,unclassified,
MNQ,2023-01-06,2023-01-06 05:00:00+00:00,2023-01-06 21:59:00+00:00,10874.25,11166.0,10751.0,11107.75,1239317,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,415.0,233.5,0.5626506024096386,0.5626506024096386,241.5,,,unclassified,unclassified,
MNQ,2023-01-08,2023-01-08 23:00:00+00:00,2023-01-09 04:59:00+00:00,11128.75,11178.0,11123.25,11174.0,61674,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,54.75,66.25,0.8264840182648402,0.8264840182648402,415.0,,,unclassified,unclassified,
MNQ,2023-01-09,2023-01-09 05:00:00+00:00,2023-01-10 04:59:00+00:00,11173.75,11385.5,11120.25,11146.0,1073319,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,265.25,-28.0,0.10461828463713478,-0.10461828463713478,54.75,,,unclassified,unclassified,
MNQ,2023-01-10,2023-01-10 05:00:00+00:00,2023-01-11 04:59:00+00:00,11144.75,11301.75,11094.25,11277.25,1159287,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,207.5,131.25,0.6385542168674698,0.6385542168674698,265.25,,,unclassified,unclassified,
MNQ,2023-01-11,2023-01-11 05:00:00+00:00,2023-01-12 04:59:00+00:00,11277.0,11491.5,11239.5,11487.25,966453,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,252.0,210.0,0.8343253968253969,0.8343253968253969,207.5,,,unclassified,unclassified,
MNQ,2023-01-12,2023-01-12 05:00:00+00:00,2023-01-13 04:59:00+00:00,11487.0,11580.0,11288.5,11491.5,1530702,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,291.5,4.25,0.015437392795883362,0.015437392795883362,252.0,,,unclassified,unclassified,
MNQ,2023-01-13,2023-01-13 05:00:00+00:00,2023-01-13 21:59:00+00:00,11491.0,11619.25,11389.5,11601.25,982767,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,229.75,109.75,0.47986942328618065,0.47986942328618065,291.5,,,unclassified,unclassified,
MNQ,2023-01-15,2023-01-15 23:00:00+00:00,2023-01-16 04:59:00+00:00,11612.5,11638.25,11582.75,11618.0,43597,databento_ohlcv_1m,../trading/data/databento_ohlcv_1m/front_1m.parquet,55.5,16.75,0.0990990990990991,0.0990990990990991,229.75,,,unclassified,unclassified,
