root,state,days,comparable_next_state_days,mean_range,median_range,mean_close_to_close_return_points,median_close_to_close_return_points,mean_trendiness,median_trendiness,mean_signed_trendiness,median_signed_trendiness,same_state_next_day_probability
MNQ,compression,340,339,251.93970588235294,221.0,15.655882352941177,15.5,0.4523317613923469,0.46257631837018764,0.0741102878640424,0.08625607841635716,0.4631268436578171
MNQ,expansion,285,285,318.8543859649123,261.75,29.96315789473684,41.75,0.4761747032483469,0.4784688995215311,0.11387021673660754,0.19637610186092067,0.4
MNQ,neutral,290,290,288.32586206896553,261.125,-0.8517241379310345,10.625,0.49550793225968615,0.5013392857142858,0.040851060290639826,0.055384726059993436,0.2689655172413793
NQ,compression,340,339,252.7683823529412,220.5,15.75294117647059,14.0,0.45424307640781947,0.4662993572084481,0.0707244281768047,0.08082252505054299,0.45427728613569324
NQ,expansion,287,287,320.3998257839721,262.75,31.461672473867594,42.75,0.47664069741683535,0.47987117552334946,0.11715013103306991,0.2,0.40418118466898956
NQ,neutral,288,288,286.0486111111111,258.75,-2.673611111111111,12.125,0.4998968026564439,0.5049854095556157,0.04169329404427286,0.059707407038181635,0.2604166666666667
