signal,root,state,year,slippage_ticks_per_side,trades,net_dollars,profit_factor,max_drawdown_dollars,win_rate,largest_winner_share,best_day_share,best_week_share,net_excluding_largest,passes_cost_and_concentration_gates
donchian_simple_60m,MNQ,expansion,2023,2.0,119,-2251.5,0.6797297297297298,2609.0,0.4369747899159664,0.0,0.0,0.0,-2661.5,False
donchian_simple_60m,MNQ,expansion,2024,2.0,120,872.5,1.1126678719008265,2206.5,0.525,0.7392550143266475,0.7810888252148998,1.3736389684813755,227.5,False
donchian_simple_60m,MNQ,expansion,2025,2.0,109,-4545.5,0.6618183170895022,5082.5,0.46788990825688076,0.0,0.0,0.0,-6173.5,False
donchian_simple_60m,NQ,unconditional,2023,2.0,411,-21500.0,0.8938245388775031,37120.0,0.49635036496350365,0.0,0.0,0.0,-25930.0,False
donchian_simple_60m,NQ,unconditional,2024,2.0,403,69185.0,1.300994104979226,22150.0,0.5235732009925558,0.1272674712726747,0.17879598178795983,0.22367565223675653,60380.0,True
donchian_simple_60m,NQ,unconditional,2025,2.0,413,-93280.0,0.755510706890677,114095.0,0.46731234866828086,0.0,0.0,0.0,-109580.0,False
donchian_simple_60m,NQ,compression,2023,2.0,120,-18500.0,0.676460300804477,28020.0,0.4583333333333333,0.0,0.0,0.0,-22930.0,False
donchian_simple_60m,NQ,compression,2024,2.0,154,15865.0,1.2006703769289147,18980.0,0.487012987012987,0.4311377245508982,0.4311377245508982,0.41947683580208006,9025.0,True
donchian_simple_60m,NQ,compression,2025,2.0,178,-4935.0,0.9599334253470813,21430.0,0.4943820224719101,0.0,0.0,0.0,-11390.0,False
donchian_simple_60m,NQ,neutral,2023,2.0,145,22540.0,1.3819367957298991,9595.0,0.5793103448275863,0.17834960070984915,0.20275066548358472,0.24467613132209406,18520.0,True
donchian_simple_60m,NQ,neutral,2024,2.0,128,44420.0,1.6048474945533768,19345.0,0.5703125,0.19822152183701036,0.2784781629896443,0.19822152183701036,35615.0,True
donchian_simple_60m,NQ,neutral,2025,2.0,127,-47235.0,0.6271755002170567,65895.0,0.41732283464566927,0.0,0.0,0.0,-56475.0,False
donchian_simple_60m,NQ,expansion,2023,2.0,119,-26185.0,0.6466738631763594,28630.0,0.42857142857142855,0.0,0.0,0.0,-30270.0,False
donchian_simple_60m,NQ,expansion,2024,2.0,121,8900.0,1.1150539719475148,22095.0,0.5206611570247934,0.7252808988764045,0.7646067415730337,1.34438202247191,2445.0,False
donchian_simple_60m,NQ,expansion,2025,2.0,108,-41110.0,0.6877681995974633,46455.0,0.48148148148148145,0.0,0.0,0.0,-57410.0,False
