root,year,state,days,share
MNQ,2026,compression,17,0.2982456140350877
MNQ,2026,expansion,20,0.3508771929824561
MNQ,2026,neutral,20,0.3508771929824561
NQ,2026,compression,17,0.2982456140350877
NQ,2026,expansion,20,0.3508771929824561
NQ,2026,neutral,20,0.3508771929824561
