root,session_date,coiled_cohort,globex_state,globex_range_ratio,rth_morning_range_div_atr20,closed_outside_globex_range,failed_breakout_reentry,lunch_cohort,morning_state,morning_range_ratio,lunch_range_div_morning_range,lunch_range_contraction,trend_continuation_failure,vwap_cross,inside_state,inside_sub_state,rest_rth_range_div_first_hour_range,new_rth_high_or_low_after_10_30,new_session_high_or_low_after_10_30,chop_index,first_hour_vwap_cross_count,year,month,week,eligible_primary_states
MNQ,2023-02-03,primary_2023_2025,expansion,1.5760971055088702,1.224218230206254,True,False,primary_2023_2025,exhaustion,1.959049959049959,0.8712374581939799,False,True,True,broken,broken_up,1.09024612579763,True,True,0.5,14,2023,2023-02,2023-W05,True
MNQ,2023-02-06,primary_2023_2025,neutral,1.107376283846872,0.6002858504049547,False,True,primary_2023_2025,standard,0.9287469287469288,0.7513227513227513,False,True,True,trapped,trapped,1.2848101265822784,True,True,0.5372670807453416,39,2023,2023-02,2023-W06,True
MNQ,2023-02-07,primary_2023_2025,compression,0.6956521739130435,0.3928744416339271,False,False,primary_2023_2025,standard,0.6239316239316239,3.495890410958904,False,True,True,trapped,trapped,4.684039087947883,True,True,0.5169230769230769,18,2023,2023-02,2023-W06,True
MNQ,2023-02-08,primary_2023_2025,neutral,0.7808340727595386,0.9415568015355862,True,False,primary_2023_2025,exhaustion,1.6568888888888889,0.453862660944206,True,True,False,broken,broken_down,1.6304909560723515,True,True,0.4754601226993865,0,2023,2023-02,2023-W06,True
MNQ,2023-02-09,primary_2023_2025,expansion,1.318544809228039,0.6385981990752008,False,True,primary_2023_2025,standard,1.1213675213675214,0.7591463414634146,False,False,False,broken,broken_up,2.6704035874439462,True,True,0.4876543209876543,0,2023,2023-02,2023-W06,True
MNQ,2023-02-10,primary_2023_2025,neutral,1.284826974267968,0.5143820856366532,False,False,primary_2023_2025,standard,0.9384615384615383,0.9198542805100182,False,False,True,trapped,trapped,1.209471766848816,True,True,0.55,15,2023,2023-02,2023-W06,True
MNQ,2023-02-13,primary_2023_2025,neutral,1.1978704525288375,0.7135922330097088,True,False,primary_2023_2025,standard,1.2564102564102564,0.3578231292517007,True,False,False,broken,broken_up,1.006198347107438,True,True,0.5047021943573667,0,2023,2023-02,2023-W07,True
MNQ,2023-02-14,primary_2023_2025,expansion,1.5704347826086955,1.1058420923979466,False,True,primary_2023_2025,exhaustion,1.8525798525798525,0.7250221043324492,False,True,True,broken,broken_down,0.8770999115826702,False,False,0.4506172839506173,5,2023,2023-02,2023-W07,True
MNQ,2023-02-15,primary_2023_2025,compression,0.6365957446808511,0.4123039694727535,True,False,primary_2023_2025,standard,0.7020602218700476,0.7200902934537246,False,False,False,broken,broken_both,1.662004662004662,True,True,0.5276073619631901,7,2023,2023-02,2023-W07,True
MNQ,2023-02-16,primary_2023_2025,expansion,1.9046808510638296,0.6686128637348149,False,True,primary_2023_2025,standard,1.162981162981163,0.504225352112676,False,False,False,broken,broken_down,1.7375745526838966,True,True,0.478125,3,2023,2023-02,2023-W07,True
MNQ,2023-02-17,primary_2023_2025,neutral,0.8224755700325733,0.4954379562043796,True,False,primary_2023_2025,standard,0.8605388272583201,0.6077348066298343,False,True,True,broken,broken_down,1.123529411764706,True,True,0.4643962848297213,12,2023,2023-02,2023-W07,True
MNQ,2023-02-20,primary_2023_2025,compression,0.4674267100977198,0.0986269580351962,False,False,primary_2023_2025,standard,0.1635926222935044,0.8137254901960784,False,False,True,trapped,trapped,0.9509803921568628,True,False,0.5107913669064749,7,2023,2023-02,2023-W08,True
MNQ,2023-02-21,primary_2023_2025,neutral,1.017915309446254,0.5480832199889175,True,False,primary_2023_2025,standard,0.92991452991453,0.3180147058823529,True,False,False,broken,broken_down,1.24373576309795,True,True,0.5030864197530864,0,2023,2023-02,2023-W08,True
MNQ,2023-02-22,primary_2023_2025,compression,0.638095238095238,0.544739525173569,False,True,primary_2023_2025,standard,0.958974358974359,0.6399286987522281,False,True,True,broken,broken_both,1.1635687732342008,True,True,0.5015384615384615,29,2023,2023-02,2023-W08,True
