root,sub_state,days,median_rest_rth_range,median_rest_rth_range_div_first_hour_range,mean_rest_rth_trendiness,mean_rest_rth_signed_trendiness,new_rth_high_after_10_30_rate,new_rth_low_after_10_30_rate,new_rth_high_or_low_after_10_30_rate,new_session_high_or_low_after_10_30_rate,mean_rotation_count,mean_chop_index,mean_first_hour_vwap_cross_count,mean_first_hour_vwap_cross_rate,median_close_location_within_rth_range
MNQ,broken_both,46,171.125,0.9788674880800643,0.418409545045961,0.09624132893042855,0.5217391304347826,0.5869565217391305,0.8913043478260869,0.8913043478260869,164.06521739130434,0.5134676601942167,14.652173913043478,0.04440052700922267,0.663412583223904
MNQ,broken_down,251,170.0,1.259860788863109,0.46653652097830245,0.014668240807287616,0.4541832669322709,0.6613545816733067,0.9601593625498008,0.8605577689243028,160.85657370517927,0.5073149933549342,14.48207171314741,0.04598816853796933,0.47619047619047616
MNQ,broken_up,315,165.75,1.3561904761904762,0.4508876215409701,0.10165028662851436,0.707936507936508,0.48253968253968255,0.9714285714285714,0.8666666666666667,160.6888888888889,0.5114307292085152,13.26984126984127,0.041177489177489174,0.6900958466453674
MNQ,trapped,161,179.5,1.5194805194805194,0.465522084201538,0.10751693649862454,0.7204968944099379,0.5590062111801242,1.0,0.7701863354037267,158.34782608695653,0.5058144337033776,15.031055900621118,0.04633163937511763,0.5957446808510638
MNQ,unconditional,773,170.0,1.3440860215053763,0.4570842977742837,0.07430646395561381,0.6170763260025873,0.5627425614489003,0.9689521345407504,0.8460543337645536,160.45666235446313,0.5090457687295583,14.11254851228978,0.04400486102944059,0.6209944751381216
NQ,broken_both,48,171.125,1.0481095955585702,0.4355181425117949,0.11306768220470348,0.5416666666666666,0.5833333333333334,0.8958333333333334,0.8958333333333334,163.375,0.5117649125506633,14.854166666666666,0.04501262626262626,0.6667497521169623
NQ,broken_down,248,169.625,1.257242267680374,0.462814207457019,0.007072794261634147,0.4475806451612903,0.6693548387096774,0.9637096774193549,0.8669354838709677,160.47177419354838,0.5064170461592269,14.080645161290322,0.04479227761485825,0.47226264824500064
NQ,broken_up,317,165.75,1.3510436432637571,0.45081803096535716,0.10160093478134018,0.7097791798107256,0.48264984227129337,0.9716088328075709,0.8643533123028391,160.2397476340694,0.5111969470792586,12.927444794952681,0.03996367460089857,0.688715953307393
NQ,trapped,160,180.625,1.5343108504398826,0.47030673849987503,0.1171119398846937,0.73125,0.55,1.0,0.775,159.13125,0.5067503304987631,14.71875,0.04536742424242424,0.5989468572920627
NQ,unconditional,773,169.5,1.3477477477477477,0.4577505669675357,0.07519625928841767,0.6196636481241915,0.5627425614489003,0.9702457956015524,0.8486416558861578,160.27943078913324,0.5087783031744465,13.787839586028461,0.04294484299658945,0.6193895870736086
