root,state,days,new_rth_high_after_10_30_rate,new_rth_low_after_10_30_rate,new_rth_high_or_low_after_10_30_rate,new_session_high_or_low_after_10_30_rate
MNQ,broken,612,0.5898692810457516,0.5637254901960784,0.9607843137254902,0.8660130718954249
MNQ,trapped,161,0.7204968944099379,0.5590062111801242,1.0,0.7701863354037267
MNQ,unconditional,773,0.6170763260025873,0.5627425614489003,0.9689521345407504,0.8460543337645536
NQ,broken,613,0.5905383360522023,0.566068515497553,0.9624796084828712,0.867862969004894
NQ,trapped,160,0.73125,0.55,1.0,0.775
NQ,unconditional,773,0.6196636481241915,0.5627425614489003,0.9702457956015524,0.8486416558861578
