root,state,days,years_with_min_rows,rest_range_ratio_lift_vs_unconditional,new_rth_extreme_rate_lift_vs_unconditional,chop_index_lift_vs_unconditional,largest_month_share,largest_week_share,sparse,concentrated
MNQ,trapped,161,3,0.17539449797514317,0.031047865459249646,-0.0032313350261806706,0.06832298136645963,0.024844720496894408,False,False
MNQ,broken,612,3,-0.05413475570988724,-0.00816782081526013,0.0008500734300900259,0.03431372549019608,0.008169934640522876,False,False
NQ,trapped,160,3,0.18656310269213483,0.02975420439844756,-0.0020279726756834426,0.06875,0.025,False,False
NQ,broken,613,3,-0.05708108108108112,-0.007766187118681267,0.0005293240262795873,0.03425774877650897,0.008156606851549755,False,False
