root,state,days,median_rest_rth_range,median_rest_rth_range_div_first_hour_range,mean_rest_rth_trendiness,mean_rest_rth_signed_trendiness,new_rth_high_after_10_30_rate,new_rth_low_after_10_30_rate,new_rth_high_or_low_after_10_30_rate,new_session_high_or_low_after_10_30_rate,mean_rotation_count,mean_chop_index,mean_first_hour_vwap_cross_count,mean_first_hour_vwap_cross_rate,median_close_location_within_rth_range,year
MNQ,broken,209,147.75,1.3396226415094339,0.4787463666566897,0.07551551408916278,0.5789473684210527,0.5789473684210527,0.9521531100478469,0.8803827751196173,164.04306220095694,0.5149869534970315,14.78468899521531,0.0457097288676236,0.6595419847328244,2023
MNQ,trapped,48,148.875,1.4833041489673153,0.44588785639047934,0.16045920633046265,0.6666666666666666,0.5833333333333334,1.0,0.7916666666666666,153.47916666666666,0.5124477647087207,12.416666666666666,0.039646464646464645,0.5934278959810875,2023
MNQ,unconditional,257,148.25,1.3627450980392157,0.4726093686303158,0.09138048384629271,0.5953307392996109,0.5797665369649806,0.9610894941634242,0.8638132295719845,162.07003891050584,0.5145127081202263,14.342412451361868,0.044577290413866294,0.6385696040868455,2023
NQ,broken,209,147.5,1.3412073490813647,0.4768000597859862,0.0702598258173318,0.5741626794258373,0.583732057416268,0.9521531100478469,0.8803827751196173,163.12918660287082,0.5140913406985478,14.425837320574162,0.0445991010584312,0.6475609756097561,2023
NQ,trapped,48,148.125,1.4814550326059277,0.4559976668248426,0.18544346631505482,0.6875,0.5625,1.0,0.7916666666666666,155.5625,0.5135635706654956,12.583333333333334,0.04007575757575758,0.5983031608359043,2023
NQ,unconditional,257,147.75,1.3595744680851063,0.47291478794888553,0.09177272365348242,0.5953307392996109,0.5797665369649806,0.9610894941634242,0.8638132295719845,161.715953307393,0.5139927688635809,14.081712062256809,0.04375427426011083,0.639386189258312,2023
MNQ,broken,204,170.5,1.3237469591452908,0.45183793671579653,0.06655251182006858,0.6078431372549019,0.5686274509803921,0.9803921568627451,0.8529411764705882,157.81372549019608,0.5040300133379593,14.92156862745098,0.04684194890077244,0.6107555821371611,2024
MNQ,trapped,55,175.25,1.669871794871795,0.4883068765090954,0.07430841810637467,0.7272727272727273,0.509090909090909,1.0,0.8,161.94545454545454,0.5037655291850209,17.4,0.05272727272727272,0.6401225114854517,2024
MNQ,unconditional,259,171.0,1.3561904761904762,0.4595823061699719,0.06819951894650422,0.6332046332046332,0.555984555984556,0.9845559845559846,0.8416988416988417,158.6911196911197,0.5039738487494975,15.447876447876448,0.0480917280917281,0.6170454545454546,2024
NQ,broken,204,170.5,1.3253773884924374,0.45265436784244506,0.06759260046769325,0.6078431372549019,0.5686274509803921,0.9803921568627451,0.8529411764705882,157.57843137254903,0.503254319727939,14.57843137254902,0.04553475935828877,0.6085697741748697,2024
NQ,trapped,55,175.0,1.6474358974358974,0.4889925837968332,0.07394211763530005,0.7272727272727273,0.509090909090909,1.0,0.8,162.0909090909091,0.5044103000416071,16.727272727272727,0.050688705234159775,0.6381679389312978,2024
NQ,unconditional,259,171.0,1.3569739952718676,0.4603709774080488,0.06894095353417344,0.6332046332046332,0.555984555984556,0.9845559845559846,0.8416988416988417,158.53667953667954,0.5034997981729264,15.034749034749035,0.046629226629226625,0.6136363636363636,2024
MNQ,broken,199,201.75,1.1955645161290323,0.43288531106433714,0.05411665831900464,0.5829145728643216,0.542713567839196,0.949748743718593,0.864321608040201,161.10552763819095,0.510562107537093,11.834170854271356,0.03742348104157149,0.6167800453514739,2025
MNQ,trapped,58,226.375,1.507760661027904,0.4601648317535238,0.0951934806304437,0.7586206896551724,0.5862068965517241,1.0,0.7241379310344828,158.9655172413793,0.5022677071560183,14.948275862068966,0.04579937304075235,0.5903605233330581,2025
MNQ,unconditional,257,210.75,1.2849604221635884,0.43904177876851147,0.06338691393792863,0.622568093385214,0.5525291828793775,0.9610894941634242,0.8326848249027238,160.6225680933852,0.5086902195133486,12.536964980544747,0.039313760169791295,0.610726643598616,2025
NQ,broken,200,200.875,1.1958800084743517,0.4329970328539758,0.05457801978582052,0.59,0.545,0.955,0.87,160.975,0.510483020217745,11.57,0.036636363636363634,0.6161461258970038,2025
NQ,trapped,57,225.5,1.514978601997147,0.46432628146599525,0.10122469348222564,0.7719298245614035,0.5789473684210527,1.0,0.7368421052631579,159.28070175438597,0.5032707892205248,14.578947368421053,0.044688995215311,0.5988483685220729,2025
NQ,unconditional,257,210.0,1.2801556420233462,0.4399455432465248,0.06492378009980918,0.6303501945525292,0.5525291828793775,0.9649805447470817,0.8404669260700389,160.59922178988327,0.5088834203467663,12.237354085603112,0.03842235585426247,0.6090425531914894,2025
