mean_net_pnl,median_net_pnl,positive_rate,p95_net_pnl,model
0.00000000,0.00000000,0.00000000,0.00000000,analog
0.00000000,0.00000000,0.00000000,0.00000000,gradient_boosted_trees
0.00000000,0.00000000,0.00000000,0.00000000,logistic
