query_row_id,query_decision_time,query_direction,query_score,proposed_trade,neighbor_rank,neighbor_row_id,neighbor_decision_time,neighbor_trading_day,neighbor_direction,neighbor_outcome,neighbor_target_before_stop,neighbor_net_pnl
11353,2026-05-29 12:15:00+00:00,-1.00000000,0.60045014,False,4,2124,2026-04-11 00:45:00+00:00,2026-04-11,1.00000000,target,1,32.66285714
11353,2026-05-29 12:15:00+00:00,-1.00000000,0.60045014,False,5,3580,2026-04-21 00:25:00+00:00,2026-04-21,1.00000000,stop,0,-20.62285714
12141,2026-06-03 16:45:00+00:00,-1.00000000,0.59608065,False,1,2097,2026-04-10 23:35:00+00:00,2026-04-11,-1.00000000,target,1,41.73428571
12141,2026-06-03 16:45:00+00:00,-1.00000000,0.59608065,False,2,9267,2026-05-15 23:20:00+00:00,2026-05-16,-1.00000000,stop,0,-44.51571429
12141,2026-06-03 16:45:00+00:00,-1.00000000,0.59608065,False,3,6562,2026-05-05 20:50:00+00:00,2026-05-05,1.00000000,stop,0,-46.30142857
12141,2026-06-03 16:45:00+00:00,-1.00000000,0.59608065,False,4,10222,2026-05-20 19:55:00+00:00,2026-05-20,1.00000000,target,1,50.73428571
12141,2026-06-03 16:45:00+00:00,-1.00000000,0.59608065,False,5,9961,2026-05-19 18:50:00+00:00,2026-05-19,-1.00000000,target,1,68.23428571
11947,2026-06-02 16:05:00+00:00,-1.00000000,0.59294233,False,1,1133,2026-04-07 23:40:00+00:00,2026-04-08,-1.00000000,stop,0,-37.73000000
11947,2026-06-02 16:05:00+00:00,-1.00000000,0.59294233,False,2,1088,2026-04-07 21:50:00+00:00,2026-04-07,1.00000000,stop,0,-51.90857143
11947,2026-06-02 16:05:00+00:00,-1.00000000,0.59294233,False,3,9342,2026-05-16 02:30:00+00:00,2026-05-16,1.00000000,target,1,64.09142857
11947,2026-06-02 16:05:00+00:00,-1.00000000,0.59294233,False,4,144,2026-04-01 20:15:00+00:00,2026-04-01,1.00000000,target,1,59.30571429
11947,2026-06-02 16:05:00+00:00,-1.00000000,0.59294233,False,5,4876,2026-04-27 22:20:00+00:00,2026-04-28,1.00000000,stop,0,-33.51571429
12270,2026-06-04 01:30:00+00:00,1.00000000,0.58191036,False,1,4076,2026-04-23 02:35:00+00:00,2026-04-23,1.00000000,stop,0,-21.44428571
12270,2026-06-04 01:30:00+00:00,1.00000000,0.58191036,False,2,4078,2026-04-23 02:40:00+00:00,2026-04-23,1.00000000,target,1,26.30571429
12270,2026-06-04 01:30:00+00:00,1.00000000,0.58191036,False,3,6689,2026-05-06 02:05:00+00:00,2026-05-06,-1.00000000,stop,0,-18.51571429
12270,2026-06-04 01:30:00+00:00,1.00000000,0.58191036,False,4,3117,2026-04-17 01:50:00+00:00,2026-04-17,-1.00000000,stop,0,-24.76571429
12270,2026-06-04 01:30:00+00:00,1.00000000,0.58191036,False,5,5760,2026-04-30 16:50:00+00:00,2026-04-30,1.00000000,stop,0,-26.51571429
